Source,Target,Type,Id,Label,timeset,Weight
UCHxJfblqf3iyxTTd3GXtRXA,UCK09g6gYGMvU-0x1VCF1hgA,Directed,89594,,,1
UCQleiDKZyZfsPZrArWDmI0A,UClvD6c1VI75QZWJjA_yiWhg,Directed,90131,,,1
UCBvxTye7EGlu3o3S58vIQeg,UClvD6c1VI75QZWJjA_yiWhg,Directed,90535,,,1
UCq2q83rsDc91CTBPMusuKWQ,UCwnKziETDbHJtx78nIkfYug,Directed,90769,,,1
UCySNnaJEsLYBlg4gqCAq8uw,UC2C_jShtL725hvbm1arSV9w,Directed,90925,,,1
UCavyAKZP-Wr5SSc3zmqVenw,UCwnKziETDbHJtx78nIkfYug,Directed,91411,,,1
UCavyAKZP-Wr5SSc3zmqVenw,UCfa492nu0Ir7zEmqR9hQ18Q,Directed,91417,,,1
UCavyAKZP-Wr5SSc3zmqVenw,UClvD6c1VI75QZWJjA_yiWhg,Directed,91419,,,1
UCCgx0sNaSSJ-jjYDG6RqkPA,UClvD6c1VI75QZWJjA_yiWhg,Directed,91593,,,1
UCYCDXs0Nc0HtTGeXKuc6l4g,UCFWjEwhX6cSAKBQ28pufG3w,Directed,91660,,,1
UCYCDXs0Nc0HtTGeXKuc6l4g,UCD8bmW4A7eYzHrW7sXwsqwQ,Directed,91662,,,1
UCAx27vcos1TkPty-FF0zVfQ,UCRds47MZ1Ng7KCLseg2TkWA,Directed,91766,,,1
UC6p8X60vwIAohxAEHtlxH9g,UCQGqX5Ndpm4snE0NTjyOJnA,Directed,92422,,,1
UCp8wAqgF6VlvvMIWVI6xegg,UClvD6c1VI75QZWJjA_yiWhg,Directed,92693,,,1
