Source,Target,Type,Rel 
anastassiazz,alex_dugin,Directed,Retweet
antoninapervay,alex_dugin,Directed,Retweet
artyrtolstov,alex_dugin,Directed,Retweet
bizykovaanita,alex_dugin,Directed,Retweet
disneytv_ru,alex_dugin,Directed,Retweet
dmitrovalera,alex_dugin,Directed,Retweet
dumovaelvira,alex_dugin,Directed,Retweet
elleonoraageeva,alex_dugin,Directed,Retweet
igorberejnev,alex_dugin,Directed,Retweet
ingageorg,alex_dugin,Directed,Retweet
ivanimlin,alex_dugin,Directed,Retweet
kugin_1991,alex_dugin,Directed,Retweet
larvin_aiyanna,alex_dugin,Directed,Retweet
lidmilama,alex_dugin,Directed,Retweet
petrsablin,alex_dugin,Directed,Retweet
romakryglov,alex_dugin,Directed,Retweet
sanyabessonov,alex_dugin,Directed,Retweet
valerademchyk,alex_dugin,Directed,Retweet
zimnikovavenera,alex_dugin,Directed,Retweet
alexboronin,comradzampolit,Directed,Retweet
alexboronin,evgenpaper,Directed,Retweet
alexboronin,genadiy_alex,Directed,Retweet
alexboronin,ruopentwit,Directed,Retweet
alexboronin,v_bakulin,Directed,Retweet
alexharritonov,boeing_is_back,Directed,Retweet
alexharritonov,comradzampolit,Directed,Retweet
alexharritonov,denn_nikitin,Directed,Retweet
alexharritonov,donetsknovosti,Directed,Retweet
alexharritonov,goaoll,Directed,Retweet
alexharritonov,krasilnikovbor,Directed,Retweet
alexharritonov,lavrovmuesli,Directed,Retweet
alexharritonov,lugansknovosti,Directed,Retweet
alexharritonov,maxdementiev,Directed,Retweet
alexharritonov,novostidamask,Directed,Retweet
alexharritonov,riafanru,Directed,Retweet
alexharritonov,sergeev_tolik,Directed,Retweet
alexharritonov,sergo_yarosh,Directed,Retweet
alexharritonov,todayinsyria,Directed,Retweet
alexharritonov,tribunaonline24,Directed,Retweet
alexharritonov,zubovnik,Directed,Retweet
anastassiazz,alexharritonov,Directed,Retweet
bylganin_mark,alexharritonov,Directed,Retweet
egor_glumov_,alexharritonov,Directed,Retweet
fedotovvas,alexharritonov,Directed,Retweet
irenne_official,alexharritonov,Directed,Retweet
kirmux,alexharritonov,Directed,Retweet
kuznetsov_boris,alexharritonov,Directed,Retweet
lazer_nikit,alexharritonov,Directed,Retweet
mama_russland,alexharritonov,Directed,Retweet
margoberoeva,alexharritonov,Directed,Retweet
nikita_baglaev,alexharritonov,Directed,Retweet
viborisova,alexharritonov,Directed,Retweet
alexisfoxie,d_andre_austin_,Directed,Retweet
alexlovesshenna,jamiesamy,Directed,Retweet
alexmmyer,annieisbear,Directed,Retweet
alexmmyer,barbarameer,Directed,Retweet
alexmmyer,berkhoff85,Directed,Retweet
