screen_name,componentnumber,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
INA__NEWS,0,0,0,0,0,4
HameedAbd77,0,0,0,0,0,4
lolosphinx2003,0,0,0,0,0,4
b_renae88,0,0,0,0,0,4
Sir_Swindle,0,0,0,0,0,4
RealSarahIdan,0,0,0,0,0,12
KamalChomani,0,0,0,0,0,14
RobPutrus,0,2,0.721311,0.806818,986.283333,13
TomtheBasedCat,0,0,0,0,0,8
wrodgers2,0,0,0,0,0,13
HamzehKarkhi,0,0,0,0,0,8
GarbageDotNet,0,0,0,0,0,8
foranewiraq,0,0,0,0,0,8
nafisehkBBC,0,0,0,0,0,8
chrisgelardi,0,0,0,0,0,29
Abufellah,0,0,0,0,0,8
mrubin1971,0,0,0,0,0,8
KarlreMarks,0,0,0,0,0,8
CorazonDiablo,0,0,0,0,0,8
maanmkd,0,0,0,0,0,8
NickVinZant,0,0,0,0,0,8
MPSarkawtShams,0,0,0,0,0,8
TankerTrackers,0,0,0,0,0,8
aalmawlawi,0,0,0,0,0,8
ArabReform_ARI,0,0,0,0,0,8
silahzen,0,0,0,0,0,8
IAlsodani,0,0,0,0,0,8
brezaleksandar,0,0,0,0,0,8
DouglasOllivant,0,0,0,0,0,8
DiyariFaily,0,0,0,0,0,8
Alii_iii,0,0,0,0,0,8
Thawra_city,0,0,0,0,0,8
SoccerIraq,0,0,0,0,0,8
Fatikr,0,0,0,0,0,8
JonathanLanday,0,0,0,0,0,8
randamma,0,0,0,0,0,8
aliadnankadhem,0,0,0,0,0,8
MLS,0,0,0,0,0,8
SulomeAnderson,0,2,0.586118,0.64693,0,9
DanRather,0,0,0,0,0,9
fordm,0,0,0,0,0,9
cwharlow,0,0,0,0,0,9
MarkHertling,0,0,0,0,0,9
AnnaTrechsel,0,0,0,0,0,9
AOC,0,0,0,0,0,25
anthonyjwells,0,0,0,0,0,9
SPeitsch,0,0,0,0,0,9
n0rbizness,0,0,0,0,0,9
KianpourWorld,0,0,0,0,0,9
OKnox,0,0,0,0,0,9
theocmcd12,0,0,0,0,0,9
eldahshan,0,0,0,0,0,9
HayesBrown,0,0,0,0,0,9
Shivaekul,0,0,0,0,0,9
davelucas,0,0,0,0,0,9
eiddor,0,0,0,0,0,9
tekaldas,0,0,0,0,0,9
MerhomEN,0,0,0,0,0,9
ForestaWriter,0,0,0,0,0,9
KitOConnell,0,0,0,0,0,9
dude313123123,0,0,0,0,0,9
BBCKimGhattas,0,0,0,0,0,9
moubarak1,0,0,0,0,0,9
hrw,0,1,1,1,519.333333,26
mashrou3leila,0,0,0,0,0,26
chocoplusplus,0,0,0,0,0,9
sfrantzman,0,0,0,0,0,9
chrislhayes,0,0,0,0,0,9
malas_n,0,0,0,0,0,16
NYMag,0,0,0,0,0,9
IlhanMN,0,0,0,0,0,1
enamhaque31,0,0,0,0,0,9
mariamaelba,0,0,0,0,0,9
nausjcaa,0,0,0,0,0,9
theintercept,0,0,0,0,0,9
transx1,0,0,0,0,0,9
346hcn,0,0,0,0,0,9
PaulGuinnessy,0,0,0,0,0,9
AP,0,0,0,0,0,9
yashar,0,0,0,0,0,9
sommervilletv,0,0,0,0,0,37
BarbaraTasch,0,0,0,0,0,9
andrewsduncan1,0,0,0,0,0,9
PatrickHilsman,0,0,0,0,0,9
janinedigi,0,0,0,0,0,9
BrookingsInst,0,0,0,0,0,9
ThinSkinTrump,0,0,0,0,0,9
mPinoe,0,0,0,0,0,9
JohnDePetroshow,0,0,0,0,0,9
anylaurie16,0,0,0,0,0,9
alireidtv,0,0,0,0,0,9
TomiLahren,0,0,0,0,0,1
thehill,0,0,0,0,0,9
GreggHoush,0,0,0,0,0,9
LizSly,0,0,0,0,0,9
RashidaTlaib,0,0,0,0,0,1
premierleague,0,0,0,0,0,2
MichelleObama,0,0,0,0,0,27
tweet_joana,0,0,0,0,0,2
bradmondonyc,0,0,0,0,0,2
Jenna_Marbles,0,0,0,0,0,2
YouTubeTV,0,0,0,0,0,2
ABCSharkTank,0,0,0,0,0,2
youtubemusic,0,0,0,0,0,2
AmericasNavy,0,0,0,0,0,2
DALLMYD,0,0,0,0,0,2
CrabsAndScience,0,0,0,0,0,2
VsauceTwo,0,0,0,0,0,2
IvyKungu,0,0,0,0,0,2
NikkieTutorials,0,0,0,0,0,2
ReachHigher,0,0,0,0,0,2
TheCrashCourse,0,0,0,0,0,2
BingingWBabish,0,0,0,0,0,2
DalasReview,0,0,0,0,0,2
YTCreators,0,0,0,0,0,2
AlfieDeyes,0,0,0,0,0,2
SusanWojcicki,0,0,0,0,0,2
lollapalooza,0,0,0,0,0,2
tameimpala,0,0,0,0,0,2
nfrealmusic,0,0,0,0,0,2
halfaliveco,0,0,0,0,0,2
conangray,0,0,0,0,0,2
QueenWillRock,0,0,0,0,0,2
jacksfilms,0,0,0,0,0,2
RealDoctorMike,0,0,0,0,0,2
MarkRober,0,0,0,0,0,2
iambeckyg,0,0,0,0,0,2
tryguys,0,0,0,0,0,2
NickEh30,0,0,0,0,0,2
TheSorryGirls,0,0,0,0,0,2
teertho_hridoy,0,0,0,0,0,2
ZacksJerryRig,0,0,0,0,0,2
reimagineATL,0,0,0,0,0,2
DangeRussWilson,0,0,0,0,0,2
dkm14,0,0,0,0,0,2
KingJames,0,0,0,0,0,2
greatbigstory,0,0,0,0,0,2
littlechefasia,0,0,0,0,0,2
awesomenesstv,0,0,0,0,0,2
lifeaseva,0,0,0,0,0,2
NASA,0,0,0,0,0,2
Casey,0,0,0,0,0,2
MLB,0,0,0,0,0,2
